reaction_id	flux
EX_h_e	3.0823730468
ENO	2.8919854014
PGM	-2.8919814866
PGK	-2.8919814866
GAPD	2.8919814866
PPS	-2.2963312254
NGAM	2.27
ADK1	-2.2100807564
PGI	1.5
HEX1	1.5
EX_glc__D_e	-1.5
PFK	1.4551751495
FBA	1.4551751495
TPI	1.4551673198
FORt2	-1.2424277965
EX_for_e	1.2424277965
EX_etoh_e	1.013514567
ETOHt2r	-1.013514567
ALCD2x	-1.013514567
EX_lac__D_e	0.8305797319
LDH_D	-0.8305797319
D_LACt2	-0.8305797319
GLCt1	0.8177019006
PFL	0.7674993413
EX_ac_e	0.711876893
ACt2r	-0.711876893
PYRht	0.6957987112
SUCCOAh	0.6957987112
ACht2	-0.6957987112
ADPATPht	0.6957987112
SUCOAACTh	0.6957987112
PIht	0.6957987112
GLCt2	0.6822980994
ACALD	-0.658919046
PEPCK_re	-0.5667273021
NDPK1	-0.5587267022
FORht2	-0.5065498162
PFLh	0.5065498162
CO2t	-0.4699039509
EX_co2_e	0.4699039509
ME2	0.3976168851
MDH	-0.3659082224
PYRDC	0.332897995
EX_nh4_e	-0.2930357508
NH4t	0.2930357508
GLUDy	-0.2246796943
HYDhfe	0.189248895
CO2ht	-0.189248895
PFOh	0.189248895
H2ht	-0.189248895
H2td	0.189248895
EX_h2_e	0.189248895
ASPTA	-0.1528170117
PPA	0.1062260668
H2Oxt	0.0874476494
HCO3E	0.065668472
GLNS	0.0652974684
H2Ot	0.0592108023
EX_h2o_e	-0.0592108023
EX_pi_e	-0.0578329207
PIt2r	0.0578329207
MDHx	0.048002068
MOAAxt	0.048002068
HSDy	-0.0459282687
ASAD	-0.0459282687
ASPK	0.0459282687
Hxt	-0.0446131702
ACCOAC	0.0403189373
MCOATA	0.0403150225
ACONTb	0.0394455814
CITxt	0.0394455814
ICDHyr	0.0394455814
ACONTa	0.0394455814
ASTx	0.0394455814
CSx	0.0394455814
ASPxt	0.0394455814
Biomass	0.0391484002
EX_succ_e	0.0345227134
SUCCt2r	-0.0345227134
OSMx	0.0345148837
FUMxt	0.0345148837
SUCCxt	-0.0345148837
FTHFLi	0.0316370203
HSK	0.0298500869
THRS	0.0298500869
PRPPS	0.0297105678
AKGxt	0.0259583972
CBPS	0.0253495346
RPE	-0.0246360206
RPI	-0.024624276
DHAD1	0.0242141955
ACLS	0.0242141955
KARA1	-0.0242141955
THRA	0.0216975259
OMPDC	0.020517307
UMPK	0.020517307
ORPT	-0.020517307
NADPHQR	-0.020517307
DHORD3	0.020517307
ASPCT	0.020517307
DHORTS	-0.020517307
NDPK2	0.0203374848
UAGDP	0.02018883
ACGAM6PS	0.02018883
ACGAMPM	0.02018883
GF6PTA	0.02018883
TKT2	-0.0195497287
MTHFD	-0.0181373424
MTHFC	-0.0181373424
FUM	-0.0162934054
HSERTA	0.0160781818
AHSERL2	0.0160781818
CYS	-0.0160781818
ASNS2	0.0149461843
SHK3Dr	0.0144634369
CHORS	0.0144634369
PSCVT	0.0144634369
SHKK	0.0144634369
DDPA	0.0144634369
DHQS	0.0144634369
DHQTi	0.0144634369
AASAD2	0.0134871843
r_HAH	0.0134871843
r_HICITD	0.0134871843
SACCRPxt	0.0134871843
LYSLxt	-0.0134871843
HCITS	0.0134871843
AATA	0.0134871843
SACCD1	0.0134871843
SADHx	0.0134871843
CHORM	0.013270776
DHAD2	0.0130841719
ACHBS	0.0130841719
KARI_23dhmp_1	0.0130841719
KARI_1	0.0130841719
CYSTGL	0.0130841719
CYSTS	0.0130841719
ILETA	-0.0130841719
IPPMIa	-0.0121768655
IPPMIb	-0.0121768655
LEUTA	-0.0121768655
OMCDC	0.0121768655
IPMD	0.0121768655
IPPS	0.0121768655
CYSt2r	0.0104176349
EX_cys__L_e	-0.0104176349
COAxt	-0.0100982865
HDECtex	0.0100982865
EX_hdec_e	-0.0100982865
PALMCL	0.0100982865
GHMT2r	-0.0097880919
AICART	0.0079927703
IMPC	-0.0079927703
ADSS	0.0078901728
ADSL1r	0.0078901728
VALTA	-0.0068658263
TYRTA	-0.0068347874
PPND2	0.0068347874
PPNDH	0.0064359887
PHETA1	-0.0064359887
EAR140x	0.0063302963
3HAD140	0.0063302963
KAS15	0.0063302963
3OAR40	0.0063302963
3HAD40	0.0063302963
EAR40x	0.0063302963
3OAS60	0.0063302963
3OAR60	0.0063302963
3HAD60	0.0063302963
EAR60x	0.0063302963
3OAS80	0.0063302963
3OAR80	0.0063302963
3HAD80	0.0063302963
EAR80x	0.0063302963
3OAS100	0.0063302963
3OAR100	0.0063302963
3HAD100	0.0063302963
3OAS120	0.0063302963
3OAR120	0.0063302963
3HAD120	0.0063302963
EAR120x	0.0063302963
3OAS140	0.0063302963
3OAR140	0.0063302963
EAR100x	0.0063302963
ALATA_L	-0.0056597682
GLUPRT	0.0055069076
GARFT	0.0055069076
PPRGL	0.0055069076
PRFGS	0.0055069076
PRFGCL	0.0055069076
PRAIC	0.0055069076
PRASCSi	0.0055069076
ADSL2r	0.0055069076
G5SADs	0.0052133692
