reaction_id	flux
EX_h_e	4.0805090705
PGK	-2.8777656133
GAPD	2.8777656133
ENO	2.853216995
PGM	-2.853212565
PPS	-2.6721075908
FORt2	-2.6054846469
EX_for_e	2.6054846469
ADK1	-2.5859333319
NGAM	2.27
PGI	1.5
HEX1	1.5
TALA	-1.4550316126
PFK_3	1.4492759348
FBA3	1.4492759348
TPI	1.4492670747
PFL	1.4412642108
EX_h2o_e	-1.2492363824
ALCD2x	-1.226975864
EX_etoh_e	1.226975864
ETOHt2r	-1.226975864
ACALD	-1.226975864
EX_ac_e	1.1936444717
ACt2r	-1.1936444717
ACht2	-1.1754503064
PYRht	1.1754503064
ADPATPht	1.1754503064
PFLh	1.1754503064
SUCCOAh	1.1754503064
SUCOAACTh	1.1754503064
PIht	1.1754503064
FORht2	-1.1754503064
GLCt1	0.9632333725
EX_cellb_e	-0.75
BG_CELLB	0.75
GLCt2	0.5367666275
H2Ot	0.4992363824
G3PD1ir	0.3966006524
DHAK	0.3966006524
G3PT	0.3966006524
GLYCDy	0.3966006524
EX_nh4_e	-0.3316009835
NH4t_1	0.3316009835
GLUDy	-0.2542488669
PEPCK_re	-0.1483755832
NDPK1	-0.1393220571
HCO3E	0.115244548
PPA	0.1087787631
ASPTA	-0.1037387307
ACCOAC	0.0865588651
MCOATA	0.0865544351
GLNS	0.0738910002
EX_pi_e	-0.0654440741
PIt2r	0.0654440741
ACONTb	0.0446368525
CS	0.0446368525
ICDHyr	0.0446368525
ACONTa	0.0446368525
Biomass	0.0443005605
PRPPS	0.0336206538
CBPS	0.0286856829
RPE	-0.0278782661
RPI	-0.027864976
ASAD	-0.0274196514
HSDy	-0.0274196514
ASPK	0.0274196514
DHAD1	0.0274009264
ACLS	0.0274009264
KARA1	-0.0274009264
PSP_L	0.0245530483
PGCD	0.0245530483
PSERT	0.0245530483
UMPK	0.0232175055
NADPHQR	-0.0232175055
ORPT	-0.0232175055
OMPDC	0.0232175055
DHORD3	0.0232175055
DHORTS	-0.0232175055
ASPCT	0.0232175055
NDPK2	0.0230140177
ACGAMPM	0.022845799
UAGDP	0.022845799
ACGAM6PS	0.022845799
GF6PTA	0.022845799
TKT2	-0.0221225883
ME2	0.0206195323
FUM	0.0206195323
CYS	-0.0181941653
HSERTA	0.0181941653
AHSERL2	0.0181941653
ASNS2	0.0169131903
DDPA	0.0163669105
PSCVT	0.0163669105
SHKK	0.0163669105
SHK3Dr	0.0163669105
DHQTi	0.0163669105
DHQS	0.0163669105
CHORS	0.0163669105
r_HAH	0.0152621772
r_HICITD	0.0152621772
HCITS	0.0152621772
AATA	0.0152621772
SACCD1	0.0152621772
SACCD2	0.0152621772
AASAD2	0.0152621772
CHORM	0.0150172884
CYSTS	0.0148061261
KARI_1	0.0148061261
ILETA	-0.0148061261
DHAD2	0.0148061261
ACHBS	0.0148061261
CYSTGL	0.0148061261
KARI_23dhmp_1	0.0148061261
IPPS	0.0137794128
LEUTA	-0.0137794128
OMCDC	0.0137794128
IPMD	0.0137794128
IPPMIa	-0.0137794128
IPPMIb	-0.0137794128
GHMT2r	0.0134767858
3HAD80	0.0130110746
EAR60x	0.0130110746
KAS15	0.0130110746
3OAR40	0.0130110746
EAR140x	0.0130110746
3HAD140	0.0130110746
3OAR140	0.0130110746
3OAS140	0.0130110746
3OAS80	0.0130110746
EAR120x	0.0130110746
EAR40x	0.0130110746
3OAS60	0.0130110746
3OAR60	0.0130110746
3HAD60	0.0130110746
3HAD40	0.0130110746
3OAS100	0.0130110746
3OAS120	0.0130110746
EAR80x	0.0130110746
3OAR100	0.0130110746
3HAD100	0.0130110746
EAR100x	0.0130110746
3OAR80	0.0130110746
3OAR120	0.0130110746
3HAD120	0.0130110746
EX_cys__L_e	-0.0117886571
CYSt2r	0.0117886571
FTHFLi	0.0112475904
THRS	0.0092254861
HSK	0.0092254861
AICART	0.009044666
IMPC	-0.009044666
ADSL1r	0.008928566
ADSS	0.008928566
VALTA	-0.0077694095
PPND2	0.0077342857
TYRTA	-0.0077342857
PHETA1	-0.0072830027
PPNDH	0.0072830027
3OAS160	0.0071634006
3OAR160	0.0071634006
EAR160x	0.0071634006
3HAD160	0.0071634006
ALATA_L	-0.006404627
PRFGS	0.0062316491
PRFGCL	0.0062316491
GARFT	0.0062316491
PPRGL	0.0062316491
GLUPRT	0.0062316491
ADSL2r	0.0062316491
PRASCSi	0.0062316491
PRAIC	0.0062316491
G5SADs	0.0058994793
GLU5K	0.0058994793
G5SD	0.0058994793
PRO1y	-0.0058994793
MOHMT	0.005852104
DPR	0.005852104
PPNCL	0.005847674
PPCDC	0.005847674
APPAT	0.005847674
DPCOAK	0.005847674
PANTS	0.005847674
ASP1DC	0.005847674
FA140ACPHi	0.005847674
NDPK3	0.005847674
PNTK	0.005847674
TKT1	-0.0057556778
AGPR	-0.0054681773
ACGK	0.0054681773
ARGSL	0.0054681773
ACOTA	-0.0054681773
ORNTAC	0.0054681773
ARGSS	0.0054681773
OCBT	0.0054681773
CO2t	-0.0044918763
EX_co2_e	0.0044918763
GPDDA2	0.0042395636
PLDPE_STC_STC_c	-0.0042395636
LPEAT_STC_STC_sn2_c	-0.0042395636
LPLPS1AGPE180	0.0042395636
MTHFD	0.0040287246
MTHFC	0.0040287246
METS	0.0033924693
MTHFR3	0.0033924693
AGPAT160	0.002923837
TAGAH_PALM_PALM_PALM_c	-0.002923837
PLDPC_PALM_PALM_c	-0.002923837
LPCAT_PALM_PALM_sn2_c	-0.002923837
LPCH160_sn1_c	0.002923837
ACOADAGAT_PALM_PALM_PALM_c	-0.002923837
PLDPC_STC_STC_c	0.002923837
LPCAT_STC_STC_sn2_c	0.002923837
