reaction_id	flux
EX_h_e	3.2911080609
GAPD	2.8902577978
PGK	-2.8902577978
ENO	2.8682180142
PGM	-2.8682140369
PPS	-2.7027079388
ADK1	-2.6253405695
NGAM	2.27
EX_for_e	1.5507451384
FORt2	-1.5507451384
PGI	1.5
HEX1	1.5
TALA	-1.4596273193
PFK_3	1.4544598638
FBA3	1.4544598638
TPI	1.4544519092
GLCt1	1.1275782899
EX_etoh_e	1.013514567
ALCD2x	-1.013514567
ETOHt2r	-1.013514567
PFL	0.9127681934
EX_h2o_e	-0.8170143002
EX_cellb_e	-0.75
BG_CELLB	0.75
LDH_D	-0.733018627
D_LACt2	-0.733018627
EX_lac__D_e	0.733018627
ACALD	-0.7203798179
EX_ac_e	0.711876893
ACt2r	-0.711876893
SUCOAACTh	0.6955421461
SUCCOAh	0.6955421461
ADPATPht	0.6955421461
PYRht	0.6955421461
ACht2	-0.6955421461
PIht	0.6955421461
PFLh	0.6480591381
FORht2	-0.6480591381
DHAK	0.3745808615
GLYCDy	0.3745808615
G3PD1ir	0.3745808615
G3PT	0.3745808615
GLCt2	0.3724217101
CO2t	-0.3232285245
EX_co2_e	0.3232285245
NH4t_1	0.2977118237
EX_nh4_e	-0.2977118237
PYRDC	0.2931347491
GLUDy	-0.228264986
PEPCK_re	-0.1361216054
NDPK1	-0.1279933371
HCO3E	0.1034667153
PPA	0.0976617246
ASPTA	-0.0931367766
ACCOAC	0.0777126694
MCOATA	0.0777086921
H2Ot	0.0670143002
GLNS	0.0663394427
EX_pi_e	-0.0587557806
PIt2r	0.0587557806
H2td	0.047483008
H2ht	-0.047483008
EX_h2_e	0.047483008
CO2ht	-0.047483008
HYDhfe	0.047483008
PFOh	0.047483008
ACONTb	0.0400750282
ACONTa	0.0400750282
ICDHyr	0.0400750282
CS	0.0400750282
Biomass	0.0397731048
PRPPS	0.0301846697
CBPS	0.0257540459
RPE	-0.0250291461
RPI	-0.0250172141
HSDy	-0.0246174011
ASAD	-0.0246174011
ASPK	0.0246174011
KARA1	-0.0246005898
DHAD1	0.0246005898
ACLS	0.0246005898
PGCD	0.0220437609
PSERT	0.0220437609
PSP_L	0.0220437609
EX_succ_e	0.02143
SUCCt2r	-0.02143
FRDx	0.0214220454
UMPK	0.0208447087
OMPDC	0.0208447087
ORPT	-0.0208447087
NADPHQR	-0.0208447087
DHORTS	-0.0208447087
DHORD3	0.0208447087
ASPCT	0.0208447087
NDPK2	0.0206620171
GF6PTA	0.0205109901
ACGAM6PS	0.0205109901
ACGAMPM	0.0205109901
UAGDP	0.0205109901
TKT2	-0.0198616905
AHSERL2	0.0163347469
CYS	-0.0163347469
HSERTA	0.0163347469
ASNS2	0.0151846858
DDPA	0.014694235
DHQTi	0.014694235
SHK3Dr	0.014694235
SHKK	0.014694235
PSCVT	0.014694235
CHORS	0.014694235
DHQS	0.014694235
r_HAH	0.0137024039
HCITS	0.0137024039
r_HICITD	0.0137024039
AASAD2	0.0137024039
