	minimum	maximum
SULR	0.0	0.011644299846986221
LEUTAi	0.0	1000.0
TRPS3	0.0	0.0013496221347932377
PPND	0.0	0.5230000000005537
ADSK	0.0	0.0
SLFAT	-1000.0	0.0
AHCYSNS	0.0	0.0
CYSTL	0.0	0.1743333333335122
DHPTDCs2	0.0	0.0
HCYSMT	0.0	0.17433333333348852
HCYSMT2	0.0	0.17433333333350104
HSST	0.0	0.018194165331048357
METAT	1.1961151332440494e-05	0.17434529448481867
METOX1s	0.0	0.0
METOX2s	0.0	0.0
METS	0.0030532223483308515	0.1773865556818421
MTHTHFSs	0.0	0.0
RHCCE	0.0	0.0
SHSL1	0.0	0.018194165331048326
BG_CELLB	0.271772491183652	0.75
ALCD19y	0.0	0.5230000000000186
DHAK	0.0	0.9095470380044167
G3PD1ir	0.0	0.9095470380044136
G3PT	0.0	0.9095470380044222
GLYCDy	0.0	0.9095470380043484
GLYK	0.0	0.522999999999997
GPDDA1	0.0	0.018837686144371125
3DSPHR	0.0	0.0
CERS124	0.0	0.0
CERS126	0.0	0.0
CERS224	0.0	0.0
CERS226	0.0	0.0
MEVK1	0.0	0.0
MEVK2	0.0	0.0
MEVK3	0.0	0.0
MEVK4	0.0	0.0
PMEVK	0.0	0.0
PSPHPL	0.0	0.0
SBPP1	0.0	0.5230000000000681
SBPP2	0.0	0.5230000000001054
SERPT	0.0	0.0
SLCBK1	0.0	0.5230000000000703
SLCBK2	0.0	0.5230000000000692
SPHPL	0.0	0.0
DMATT	0.0	0.0
DPMVD	0.0	0.0
ERGSTGLCT	0.0	0.0
FRTT	0.0	0.0
GRTT	0.0	0.0
HMGCOAR	0.0	0.0
HMGCOAS	0.0	1000.0
IPDDI	0.0	0.0
CHLPCTD	0.0	0.0
CHOLK	0.0	0.5230000000017034
ETHAK	0.0	0.17433333333387813
MI13456PK	0.0	0.0
MI1456PK	0.0	0.0
MI145PK	0.0	0.5230000000016246
MI1PP	0.0	0.0
MI1PS	0.0	0.0
PETHCT	0.0	0.17433333333388767
PMI12346PH	0.0	0.5230000000017054
PMI12346PS	0.0	0.5230000000016655
PMI1346PH	0.0	0.5230000000017039
PMI1346PS	0.0	0.5230000000000681
3MOPt	0.0	0.0
ACt2r	-1.4921405838279056	-0.7012800245460115
ADEt2	0.0	0.0
ADNt2	0.0	0.0
AKGMAL	0.0	0.0
AKGt2r	0.0	0.0
AMETt2	0.0	0.0
ARGt2r	0.0	0.0
ASNt2r	0.0	0.0
ASPt2r	0.0	0.0
BTNt2i	0.0	0.0
CHLt2	0.0	0.0
CITt2r	0.0	0.0
CO2t	-1.7513227132451736	0.0
CSNt2	0.0	0.0
CYSt2r	0.0	0.011788657136024176
CYTDt2	0.0	0.0
D_LACt2	-1.045999999999547	0.0
ETHAt	0.0	0.0
DTTPt	0.0	0.0
DURIt2	0.0	0.0
DCYTt2	0.0	0.0
DGSNt2	0.0	0.0
DINSt2	0.0	0.0
FRUt2	0.0	0.0
GLCt1	0.0	1.5
GSNt2	0.0	0.0
GUAt2r	0.0	0.0
HDCAt	0.0	0.0
TTDCAtr	0.0	0.0
HXANt2r	0.0	0.0
INSt2	0.0	0.0
INSTt2	0.0	0.0
MELIBt2	0.0	0.0
NMNTP	0.0	0.0
MMETt2	0.0	0.0
NACt	0.0	0.0
NADPt	0.0	0.0
OAAt	0.0	0.0
OCDCAt	0.0	0.0
ORNt2r	0.0	0.0
PNTOt2	0.0	0.0
SO3t	0.0	0.011644299846986221
HCO3E	0.10372009320652083	0.1152445480072456
HCO3_h_ti	0.0	0.0
H2St1	0.0	0.0
H2td	0.0	1.4921405838279207
ALAt4	0.0	0.0
GLYt4	0.0	0.0
ASNt4	0.0	0.0
GLUt4	0.0	0.0
SERabc	0.0	0.0
SO4ti	0.0	0.0
NH4t	0.0	0.33918468356619186
NAt	0.0	0.0
CA2t	0.0	0.0
Kt1	0.0	0.0
MGt5	0.0	0.0
H2Ot	0.07631274418093065	1.0390012903251862
XYLt2	0.0	0.0
GLCt2	0.0	1.4545348369688942
GALt2	0.0	0.0
SUCRt2	0.0	0.0
