	minimum	maximum
SULR	0.0	0.010433980327187224
LEUTAi	0.0	1000.0
TRPS3	0.0	0.0012116926277826415
PPND	0.0	0.4420446893000626
ADSK	0.0	0.0
SLFAT	-1000.0	0.0
AHCYSNS	0.0	0.0
CYSTL	0.0	0.14734822976666725
DHPTDCs2	0.0	0.0
HCYSMT	0.0	0.14734822976665612
HCYSMT2	0.0	0.14734822976663808
HSST	0.0	0.01633474691319238
METAT	1.0738738285091197e-05	0.14735896850494123
METOX1s	0.0	0.0
METOX2s	0.0	0.0
METS	0.002741187266479197	0.15008941703314138
MTHTHFSs	0.0	0.0
RHCCE	0.0	0.0
SHSL1	0.0	0.0163347469131924
BG_CELLB	0.3079553106999926	0.75
ALCD19y	0.0	0.4420446892999795
DHAK	0.0	0.7791674646924338
G3PD1ir	0.0	0.7791674646924338
G3PT	0.0	0.7791674646923794
GLYCDy	0.0	0.7791674646924156
GLYK	0.0	0.44204468930004914
GPDDA1	0.0	0.016911325554551045
3DSPHR	0.0	0.0
CERS124	0.0	0.0
CERS126	0.0	0.0
CERS224	0.0	0.0
CERS226	0.0	0.0
MEVK1	0.0	0.0
MEVK2	0.0	0.0
MEVK3	0.0	0.0
MEVK4	0.0	0.0
PMEVK	0.0	0.0
PSPHPL	0.0	0.0
SBPP1	0.0	0.4420446893000316
SBPP2	0.0	0.4420446893000058
SERPT	0.0	0.0
SLCBK1	0.0	0.44204468930005003
SLCBK2	0.0	0.4420446893000058
SPHPL	0.0	0.0
DMATT	0.0	0.0
DPMVD	0.0	0.0
ERGSTGLCT	0.0	0.0
FRTT	0.0	0.0
GRTT	0.0	0.0
HMGCOAR	0.0	0.0
HMGCOAS	0.0	1000.0
IPDDI	0.0	0.0
CHLPCTD	0.0	0.0
CHOLK	0.0	0.4420446893013451
ETHAK	0.0	0.14734822976710935
MI13456PK	0.0	0.0
MI1456PK	0.0	0.0
MI145PK	0.0	0.4420446893013464
MI1PP	0.0	0.0
MI1PS	0.0	0.0
PETHCT	0.0	0.14734822976710935
PMI12346PH	0.0	0.4420446893013368
PMI12346PS	0.0	0.44204468930129104
PMI1346PH	0.0	0.4420446893013285
PMI1346PS	0.0	0.44204468929999463
3MOPt	0.0	0.0
ACt2r	-0.711876893	-0.48529525946187263
ADEt2	0.0	0.0
ADNt2	0.0	0.0
AKGMAL	0.0	0.0
AKGt2r	0.0	0.0
AMETt2	0.0	0.0
ARGt2r	0.0	0.0
ASNt2r	0.0	0.0
ASPt2r	0.0	0.0
BTNt2i	0.0	0.0
CHLt2	0.0	0.0
CITt2r	0.0	0.0
CO2t	-0.6324354395464982	0.0
CSNt2	0.0	0.0
CYSt2r	0.0	0.010583872755885118
CYTDt2	0.0	0.0
D_LACt2	-1.08919967	-0.716237324
ETHAt	0.0	0.0
DTTPt	0.0	0.0
DURIt2	0.0	0.0
DCYTt2	0.0	0.0
DGSNt2	0.0	0.0
DINSt2	0.0	0.0
FRUt2	0.0	0.0
GLCt1	0.0	1.5
GSNt2	0.0	0.0
GUAt2r	0.0	0.0
HDCAt	0.0	0.0
TTDCAtr	0.0	0.0
HXANt2r	0.0	0.0
INSt2	0.0	0.0
INSTt2	0.0	0.0
MELIBt2	0.0	0.0
NMNTP	0.0	0.0
MMETt2	0.0	0.0
NACt	0.0	0.0
NADPt	0.0	0.0
OAAt	0.0	0.0
OCDCAt	0.0	0.0
ORNt2r	0.0	0.0
PNTOt2	0.0	0.0
SO3t	0.0	0.010433980327187224
HCO3E	0.09312004378953324	0.10346671532170362
HCO3_h_ti	0.0	0.0
H2St1	0.0	0.0
H2td	0.047483008	0.189248895
ALAt4	0.0	0.0
GLYt4	0.0	0.0
ASNt4	0.0	0.0
GLUt4	0.0	0.0
SERabc	0.0	0.0
SO4ti	0.0	0.0
NH4t	0.0	0.30392950732274643
NAt	0.0	0.0
CA2t	0.0	0.0
Kt1	0.0	0.0
MGt5	0.0	0.0
H2Ot	-0.15942855779640613	0.5714022488174011
XYLt2	0.0	0.0
GLCt2	0.0	0.7118577022212579
GALt2	0.0	0.0
SUCRt2	0.0	0.0
SBTt2	0.0	0.0
MALTt2	0.0	0.0
MANt2	0.0	0.0
PIt2r	0.052880202571812335	0.05875578063535286
CAt4	0.0	0.0
Kt3r	0.0	0.0
NAt3_1	0.0	0.0
PIt8	0.0	0.0
PPIabc	0.0	0.0
MALTabc	0.0	0.0
RMNabc	0.0	0.0
SUCCabc	0.0	0.0
SUCRabc	0.0	0.0
GLNabc	0.0	0.0
ARB_Dabc	0.0	0.0
ARBabc	0.0	0.0
CYSabc	0.0	0.01055859232601803
ARGabc	0.0	0.0
CELLBabc	0.0	0.4420446893000074
SERt2r	0.0	0.0
PROt2r	0.0	0.0
PYRt2	0.0	0.0
PHEt2r	0.0	0.0
METt2r	0.0	0.0
LYSt2r	0.0	0.0
LEUt2r	0.0	0.0
VALt2r	0.0	0.0
ILEt2r	0.0	0.0
GLUt2r	0.0	0.0
GLNt2r	0.0	0.0
SUCCt2r	-0.04529	-0.02143
THRt2r	0.0	0.0
TRPt2r	0.0	0.0
TYRt2r	0.0	0.0
FUMt2r	0.0	0.0
ALAt2r	0.0	0.0
GLYCt2	0.0	0.0
GLYt2r	0.0	0.0
HISt2r	0.0	0.0
4ABZt2r	0.0	3.977310475960368e-06
ETOHt2r	-1.013514567	-0.6451517465666079
FORt2	-1.550745138397128	-1.087540278
L_LACt2r	0.0	0.0
NH4t_1	0.0	0.30392950732274643
XYLt	0.0	0.0
FRUt1r	0.0	0.0
GALt1r	0.0	0.0
MANt1r	0.0	0.0
MALt	0.0	0.0
4ABZt	-3.977310475959264e-06	0.0
EX_meoh_e	3.5795794283637324e-06	3.977310475959702e-06
MEOHt2	-3.977310475959711e-06	-3.5795794283637324e-06
RAFFINt2	0.0	0.0
RAFFabc	0.0	0.0
PHEMEt	3.5795794283637324e-06	3.977310475959711e-06
ALATRS	0.0	0.0
ARGTRS	0.0	0.0
ASNTRS	0.0	0.0
ASPTRS	0.0	0.0
CYSTRS	0.0	0.0
GLNTRS	0.0	0.0
GLUTRS	0.0	0.0
GLYTRS	0.0	0.0
HISTRS	0.0	0.0
ILETRS	0.0	0.0
LEUTRS	0.0	0.0
LYSTRS	0.0	0.0
METTRS	0.0	0.0
PHETRS	0.0	0.0
PROTRS	0.0	0.0
SERTRS	0.0	0.0
THRTRS	0.0	0.0
TRPTRS	0.0	0.0
TYRTRS	0.0	0.0
VALTRS	0.0	0.0
A1E	0.0	0.0
HEX1	1.5	1.7946964595333121
GLUK_syn	0.0	0.0
PGI	1.5	1.5
G6PI	0.0	0.0
PGMT	-0.147348229766656	0.0
PFK	0.0	1.4590138774298536
FBA	0.0	1.459013877429854
TPI	1.237984373620988	1.4590067182709976
GAPD	2.1220645533108096	2.9012320180031823
PGK	-2.9012320180031783	-2.1220645533107527
PGM	-2.9012355975826085	-2.6603702885602054
ENO	2.7340479830229683	2.90123559758261
PYK	0.0	0.4420446893000136
PEPCK_re	-0.9038199095329882	-0.12465244484056459
MDH	-0.7839292852272283	0.1057502466850585
FUM	-0.02862182053480411	0.10575024668505646
