reaction_id	reaction_name	metabolite_id	metabolite_name	stoichiometry	role
SULR	Sulfite reductase (NADPH2)	nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	-3.0	reactant
SULR	Sulfite reductase (NADPH2)	so3_c	Sulfite	-1.0	reactant
SULR	Sulfite reductase (NADPH2)	h_c	H+	-5.0	reactant
SULR	Sulfite reductase (NADPH2)	h2o_c	H2O H2O	3.0	product
SULR	Sulfite reductase (NADPH2)	nadp_c	Nicotinamide adenine dinucleotide phosphate	3.0	product
SULR	Sulfite reductase (NADPH2)	h2s_c	Hydrogen sulfide	1.0	product
LEUTAi	Leucine transaminase (irreversible)	glu__L_c	L-Glutamate	-1.0	reactant
LEUTAi	Leucine transaminase (irreversible)	4mop_c	4-Methyl-2-oxopentanoate	-1.0	reactant
LEUTAi	Leucine transaminase (irreversible)	akg_c	2-Oxoglutarate	1.0	product
LEUTAi	Leucine transaminase (irreversible)	leu__L_c	L-Leucine	1.0	product
TRPS3	Tryptophan synthase (indoleglycerol phosphate)	3ig3p_c	C'-(3-Indolyl)-glycerol 3-phosphate	-1.0	reactant
TRPS3	Tryptophan synthase (indoleglycerol phosphate)	g3p_c	Glyceraldehyde 3-phosphate	1.0	product
TRPS3	Tryptophan synthase (indoleglycerol phosphate)	indole_c	Indole	1.0	product
PPND	Prephenate dehydrogenase	nad_c	Nicotinamide adenine dinucleotide	-1.0	reactant
PPND	Prephenate dehydrogenase	pphn_c	Prephenate	-1.0	reactant
PPND	Prephenate dehydrogenase	34hpp_c	3-(4-Hydroxyphenyl)pyruvate	1.0	product
PPND	Prephenate dehydrogenase	co2_c	CO2 CO2	1.0	product
PPND	Prephenate dehydrogenase	nadh_c	Nicotinamide adenine dinucleotide - reduced	1.0	product
ADSK	Adenylyl-sulfate kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
ADSK	Adenylyl-sulfate kinase	aps_c	Adenosine 5'-phosphosulfate	-1.0	reactant
ADSK	Adenylyl-sulfate kinase	adp_c	ADP C10H12N5O10P2	1.0	product
ADSK	Adenylyl-sulfate kinase	paps_c	3'-Phosphoadenylyl sulfate	1.0	product
ADSK	Adenylyl-sulfate kinase	h_c	H+	1.0	product
SLFAT	Sulfate adenylyltransferase  ADP	adp_c	ADP C10H12N5O10P2	-1.0	reactant
SLFAT	Sulfate adenylyltransferase  ADP	so4_c	Sulfate	-1.0	reactant
SLFAT	Sulfate adenylyltransferase  ADP	h_c	H+	-1.0	reactant
SLFAT	Sulfate adenylyltransferase  ADP	aps_c	Adenosine 5'-phosphosulfate	1.0	product
SLFAT	Sulfate adenylyltransferase  ADP	pi_c	Phosphate	1.0	product
AHCYSNS	S-adenosylhomocysteine nucleosidase	h2o_c	H2O H2O	-1.0	reactant
AHCYSNS	S-adenosylhomocysteine nucleosidase	ahcys_c	S-Adenosyl-L-homocysteine	-1.0	reactant
AHCYSNS	S-adenosylhomocysteine nucleosidase	ade_c	Adenine	1.0	product
AHCYSNS	S-adenosylhomocysteine nucleosidase	rhcys_c	S-Ribosyl-L-homocysteine	1.0	product
CYSTL	Cystathionine b-lyase	h2o_c	H2O H2O	-1.0	reactant
CYSTL	Cystathionine b-lyase	cyst__L_c	L-Cystathionine	-1.0	reactant
CYSTL	Cystathionine b-lyase	hcys__L_c	L-Homocysteine	1.0	product
CYSTL	Cystathionine b-lyase	nh4_c	Ammonium	1.0	product
CYSTL	Cystathionine b-lyase	pyr_c	Pyruvate	1.0	product
DHPTDCs2	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	dhptd_c	4,5-dihydroxy-2,3-pentanedione	-1.0	reactant
DHPTDCs2	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	mdhdhf_c	(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	1.0	product
HCYSMT	Homocysteine S-methyltransferase	amet_c	S-Adenosyl-L-methionine	-1.0	reactant
HCYSMT	Homocysteine S-methyltransferase	hcys__L_c	L-Homocysteine	-1.0	reactant
HCYSMT	Homocysteine S-methyltransferase	ahcys_c	S-Adenosyl-L-homocysteine	1.0	product
HCYSMT	Homocysteine S-methyltransferase	met__L_c	L-Methionine	1.0	product
HCYSMT	Homocysteine S-methyltransferase	h_c	H+	1.0	product
HCYSMT2	Homocysteine Methyltransferase	hcys__L_c	L-Homocysteine	-1.0	reactant
HCYSMT2	Homocysteine Methyltransferase	mmet_c	S-Methyl-L-methionine	-1.0	reactant
HCYSMT2	Homocysteine Methyltransferase	met__L_c	L-Methionine	2.0	product
HCYSMT2	Homocysteine Methyltransferase	h_c	H+	1.0	product
HSST	Homoserine O-succinyltransferase	hom__L_c	L-Homoserine	-1.0	reactant
HSST	Homoserine O-succinyltransferase	succoa_c	Succinyl-CoA	-1.0	reactant
HSST	Homoserine O-succinyltransferase	coa_c	Coenzyme A	1.0	product
HSST	Homoserine O-succinyltransferase	suchms_c	O-Succinyl-L-homoserine	1.0	product
METAT	Methionine adenosyltransferase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
METAT	Methionine adenosyltransferase	h2o_c	H2O H2O	-1.0	reactant
METAT	Methionine adenosyltransferase	met__L_c	L-Methionine	-1.0	reactant
METAT	Methionine adenosyltransferase	amet_c	S-Adenosyl-L-methionine	1.0	product
METAT	Methionine adenosyltransferase	ppi_c	Diphosphate	1.0	product
METAT	Methionine adenosyltransferase	pi_c	Phosphate	1.0	product
METOX1s	Methionine oxidation (spontaneous)	h2o2_c	Hydrogen peroxide	-1.0	reactant
METOX1s	Methionine oxidation (spontaneous)	met__L_c	L-Methionine	-1.0	reactant
METOX1s	Methionine oxidation (spontaneous)	h2o_c	H2O H2O	1.0	product
METOX1s	Methionine oxidation (spontaneous)	metsox_S__L_c	L-Methionine Sulfoxide	1.0	product
METOX2s	Methionine oxidation 2 (spontaneous)	h2o2_c	Hydrogen peroxide	-1.0	reactant
METOX2s	Methionine oxidation 2 (spontaneous)	met__L_c	L-Methionine	-1.0	reactant
METOX2s	Methionine oxidation 2 (spontaneous)	h2o_c	H2O H2O	1.0	product
METOX2s	Methionine oxidation 2 (spontaneous)	metsox_R__L_c	L-methionine-R-sulfoxide	1.0	product
METS	Methionine synthase	hcys__L_c	L-Homocysteine	-1.0	reactant
METS	Methionine synthase	5mthf_c	5-Methyltetrahydrofolate	-1.0	reactant
METS	Methionine synthase	thf_c	5,6,7,8-Tetrahydrofolate	1.0	product
METS	Methionine synthase	h_c	H+	1.0	product
METS	Methionine synthase	met__L_c	L-Methionine	1.0	product
MTHTHFSs	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)	h2o_c	H2O H2O	-1.0	reactant
MTHTHFSs	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)	mdhdhf_c	(2R,4S)-2-methyl-2,4-dihydroxydihydrofuran-3-one	-1.0	reactant
MTHTHFSs	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)	mththf_c	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran	1.0	product
RHCCE	S-ribosylhomocysteine cleavage enzyme	rhcys_c	S-Ribosyl-L-homocysteine	-1.0	reactant
RHCCE	S-ribosylhomocysteine cleavage enzyme	hcys__L_c	L-Homocysteine	1.0	product
RHCCE	S-ribosylhomocysteine cleavage enzyme	dhptd_c	4,5-dihydroxy-2,3-pentanedione	1.0	product
SHSL1	O-succinylhomoserine lyase (L-cysteine)	cys__L_c	L-Cysteine	-1.0	reactant
SHSL1	O-succinylhomoserine lyase (L-cysteine)	suchms_c	O-Succinyl-L-homoserine	-1.0	reactant
SHSL1	O-succinylhomoserine lyase (L-cysteine)	succ_c	Succinate	1.0	product
SHSL1	O-succinylhomoserine lyase (L-cysteine)	cyst__L_c	L-Cystathionine	1.0	product
SHSL1	O-succinylhomoserine lyase (L-cysteine)	h_c	H+	1.0	product
BG_CELLB	Beta glucosidase  cellobiose	cellb_e	Cellobiose	-1.0	reactant
BG_CELLB	Beta glucosidase  cellobiose	h2o_e	H2O H2O	-1.0	reactant
BG_CELLB	Beta glucosidase  cellobiose	glc__D_e	D-Glucose	2.0	product
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	-1.0	reactant
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	glyald_c	D-Glyceraldehyde	-1.0	reactant
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	h_c	H+	-1.0	reactant
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	glyc_c	Glycerol	1.0	product
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	nadp_c	Nicotinamide adenine dinucleotide phosphate	1.0	product
DHAK	Dihydroxyacetone kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
DHAK	Dihydroxyacetone kinase	dha_c	Dihydroxyacetone	-1.0	reactant
DHAK	Dihydroxyacetone kinase	adp_c	ADP C10H12N5O10P2	1.0	product
DHAK	Dihydroxyacetone kinase	dhap_c	Dihydroxyacetone phosphate	1.0	product
DHAK	Dihydroxyacetone kinase	h_c	H+	1.0	product
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	dhap_c	Dihydroxyacetone phosphate	-1.0	reactant
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	h_c	H+	-1.0	reactant
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	nadh_c	Nicotinamide adenine dinucleotide - reduced	-1.0	reactant
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	nad_c	Nicotinamide adenine dinucleotide	1.0	product
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	glyc3p_c	Glycerol 3-phosphate	1.0	product
G3PT	Glycerol-3-phosphatase	h2o_c	H2O H2O	-1.0	reactant
G3PT	Glycerol-3-phosphatase	glyc3p_c	Glycerol 3-phosphate	-1.0	reactant
G3PT	Glycerol-3-phosphatase	glyc_c	Glycerol	1.0	product
G3PT	Glycerol-3-phosphatase	pi_c	Phosphate	1.0	product
GLYCDy	Glycerol dehydrogenase  NADP dependent	glyc_c	Glycerol	-1.0	reactant
GLYCDy	Glycerol dehydrogenase  NADP dependent	nadp_c	Nicotinamide adenine dinucleotide phosphate	-1.0	reactant
GLYCDy	Glycerol dehydrogenase  NADP dependent	nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	1.0	product
GLYCDy	Glycerol dehydrogenase  NADP dependent	dha_c	Dihydroxyacetone	1.0	product
GLYCDy	Glycerol dehydrogenase  NADP dependent	h_c	H+	1.0	product
GLYK	Glycerol kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
GLYK	Glycerol kinase	glyc_c	Glycerol	-1.0	reactant
GLYK	Glycerol kinase	adp_c	ADP C10H12N5O10P2	1.0	product
GLYK	Glycerol kinase	glyc3p_c	Glycerol 3-phosphate	1.0	product
GLYK	Glycerol kinase	h_c	H+	1.0	product
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	h2o_c	H2O H2O	-1.0	reactant
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	g3pc_c	Sn-Glycero-3-phosphocholine	-1.0	reactant
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	chol_c	Choline C5H14NO	1.0	product
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	glyc3p_c	Glycerol 3-phosphate	1.0	product
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	h_c	H+	1.0	product
3DSPHR	3 Dehydrosphinganine reductase	nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	-1.0	reactant
3DSPHR	3 Dehydrosphinganine reductase	3dsphgn_c	3 Dehydrosphinganine C18H38NO2	-1.0	reactant
3DSPHR	3 Dehydrosphinganine reductase	h_c	H+	-1.0	reactant
3DSPHR	3 Dehydrosphinganine reductase	nadp_c	Nicotinamide adenine dinucleotide phosphate	1.0	product
3DSPHR	3 Dehydrosphinganine reductase	sphgn_c	Sphinganine C18H40NO2	1.0	product
CERS124	Ceramide 1 synthase  24C	ttccoa_c	Tetracosanoyl CoA   n C240CoA  C45H78N7O17P3S	-1.0	reactant
CERS124	Ceramide 1 synthase  24C	sphgn_c	Sphinganine C18H40NO2	-1.0	reactant
CERS124	Ceramide 1 synthase  24C	coa_c	Coenzyme A	1.0	product
CERS124	Ceramide 1 synthase  24C	cer1_24_c	Ceramide 1  Sphinganinen C240  C42H85NO3	1.0	product
CERS124	Ceramide 1 synthase  24C	h_c	H+	1.0	product
CERS126	Ceramide 1 synthase  26C	hexccoa_c	Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S	-1.0	reactant
CERS126	Ceramide 1 synthase  26C	sphgn_c	Sphinganine C18H40NO2	-1.0	reactant
CERS126	Ceramide 1 synthase  26C	coa_c	Coenzyme A	1.0	product
CERS126	Ceramide 1 synthase  26C	cer1_26_c	Ceramide 1  Sphinganinen C260  C44H89NO3	1.0	product
CERS126	Ceramide 1 synthase  26C	h_c	H+	1.0	product
CERS224	Ceramide 2 synthase  24C	psphings_c	Phytosphingosine C18H40NO3	-1.0	reactant
CERS224	Ceramide 2 synthase  24C	ttccoa_c	Tetracosanoyl CoA   n C240CoA  C45H78N7O17P3S	-1.0	reactant
CERS224	Ceramide 2 synthase  24C	coa_c	Coenzyme A	1.0	product
CERS224	Ceramide 2 synthase  24C	cer2_24_c	Ceramide 2  Phytosphingosinen C240  C42H85NO4	1.0	product
CERS224	Ceramide 2 synthase  24C	h_c	H+	1.0	product
CERS226	Ceramide 2 synthase  26C	hexccoa_c	Hexacosanoyl CoA  n C260CoA  C47H82N7O17P3S	-1.0	reactant
CERS226	Ceramide 2 synthase  26C	psphings_c	Phytosphingosine C18H40NO3	-1.0	reactant
CERS226	Ceramide 2 synthase  26C	coa_c	Coenzyme A	1.0	product
CERS226	Ceramide 2 synthase  26C	cer2_26_c	Ceramide 2  Phytosphingosinen C260  C44H89NO4	1.0	product
CERS226	Ceramide 2 synthase  26C	h_c	H+	1.0	product
MEVK1	Mevalonate kinase  atp	atp_c	ATP C10H12N5O13P3	-1.0	reactant
MEVK1	Mevalonate kinase  atp	mev__R_c	 R  Mevalonate C6H11O4	-1.0	reactant
MEVK1	Mevalonate kinase  atp	adp_c	ADP C10H12N5O10P2	1.0	product
MEVK1	Mevalonate kinase  atp	5pmev_c	 R  5 Phosphomevalonate C6H10O7P	1.0	product
MEVK1	Mevalonate kinase  atp	h_c	H+	1.0	product
MEVK2	Mevalonate kinase  ctp	ctp_c	CTP C9H12N3O14P3	-1.0	reactant
MEVK2	Mevalonate kinase  ctp	mev__R_c	 R  Mevalonate C6H11O4	-1.0	reactant
MEVK2	Mevalonate kinase  ctp	5pmev_c	 R  5 Phosphomevalonate C6H10O7P	1.0	product
MEVK2	Mevalonate kinase  ctp	cdp_c	CDP C9H12N3O11P2	1.0	product
MEVK2	Mevalonate kinase  ctp	h_c	H+	1.0	product
MEVK3	Mevalonate kinase  gtp	mev__R_c	 R  Mevalonate C6H11O4	-1.0	reactant
MEVK3	Mevalonate kinase  gtp	gtp_c	GTP C10H12N5O14P3	-1.0	reactant
MEVK3	Mevalonate kinase  gtp	gdp_c	GDP C10H12N5O11P2	1.0	product
MEVK3	Mevalonate kinase  gtp	5pmev_c	 R  5 Phosphomevalonate C6H10O7P	1.0	product
MEVK3	Mevalonate kinase  gtp	h_c	H+	1.0	product
MEVK4	Mevalonate kinase  utp	utp_c	UTP C9H11N2O15P3	-1.0	reactant
MEVK4	Mevalonate kinase  utp	mev__R_c	 R  Mevalonate C6H11O4	-1.0	reactant
MEVK4	Mevalonate kinase  utp	5pmev_c	 R  5 Phosphomevalonate C6H10O7P	1.0	product
MEVK4	Mevalonate kinase  utp	udp_c	UDP C9H11N2O12P2	1.0	product
MEVK4	Mevalonate kinase  utp	h_c	H+	1.0	product
PMEVK	Phosphomevalonate kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
PMEVK	Phosphomevalonate kinase	5pmev_c	 R  5 Phosphomevalonate C6H10O7P	-1.0	reactant
PMEVK	Phosphomevalonate kinase	adp_c	ADP C10H12N5O10P2	1.0	product
PMEVK	Phosphomevalonate kinase	5dpmev_c	 R  5 Diphosphomevalonate C6H10O10P2	1.0	product
PSPHPL	Phytosphingosine phosphate lyase	psph1p_c	Phytosphingosine 1 phosphate C18H39NO6P	-1.0	reactant
PSPHPL	Phytosphingosine phosphate lyase	2hhxdal_c	2 Hydroxy hexadecanal C16H32O2	1.0	product
PSPHPL	Phytosphingosine phosphate lyase	ethamp_c	Ethanolamine phosphate C2H7NO4P	1.0	product
SBPP1	Sphinganine 1-phosphate phosphatase	h2o_c	H2O H2O	-1.0	reactant
SBPP1	Sphinganine 1-phosphate phosphatase	sph1p_c	Sphinganine 1 phosphate C18H39NO5P	-1.0	reactant
SBPP1	Sphinganine 1-phosphate phosphatase	pi_c	Phosphate	1.0	product
SBPP1	Sphinganine 1-phosphate phosphatase	sphgn_c	Sphinganine C18H40NO2	1.0	product
SBPP2	SBPP2	h2o_c	H2O H2O	-1.0	reactant
SBPP2	SBPP2	psph1p_c	Phytosphingosine 1 phosphate C18H39NO6P	-1.0	reactant
SBPP2	SBPP2	psphings_c	Phytosphingosine C18H40NO3	1.0	product
SBPP2	SBPP2	pi_c	Phosphate	1.0	product
SERPT	Serine C palmitoyltransferase	ser__L_c	L-Serine	-1.0	reactant
SERPT	Serine C palmitoyltransferase	pmtcoa_c	Palmitoyl-CoA (n-C16:0CoA)	-1.0	reactant
SERPT	Serine C palmitoyltransferase	h_c	H+	-1.0	reactant
SERPT	Serine C palmitoyltransferase	coa_c	Coenzyme A	1.0	product
SERPT	Serine C palmitoyltransferase	co2_c	CO2 CO2	1.0	product
SERPT	Serine C palmitoyltransferase	3dsphgn_c	3 Dehydrosphinganine C18H38NO2	1.0	product
SLCBK1	Sphingolipid long chain base kinase  sphinganine	atp_c	ATP C10H12N5O13P3	-1.0	reactant
SLCBK1	Sphingolipid long chain base kinase  sphinganine	sphgn_c	Sphinganine C18H40NO2	-1.0	reactant
SLCBK1	Sphingolipid long chain base kinase  sphinganine	adp_c	ADP C10H12N5O10P2	1.0	product
SLCBK1	Sphingolipid long chain base kinase  sphinganine	sph1p_c	Sphinganine 1 phosphate C18H39NO5P	1.0	product
SLCBK1	Sphingolipid long chain base kinase  sphinganine	h_c	H+	1.0	product
SLCBK2	Sphingolipid long chain base kinase  phytosphingosine	atp_c	ATP C10H12N5O13P3	-1.0	reactant
SLCBK2	Sphingolipid long chain base kinase  phytosphingosine	psphings_c	Phytosphingosine C18H40NO3	-1.0	reactant
SLCBK2	Sphingolipid long chain base kinase  phytosphingosine	adp_c	ADP C10H12N5O10P2	1.0	product
SLCBK2	Sphingolipid long chain base kinase  phytosphingosine	h_c	H+	1.0	product
SLCBK2	Sphingolipid long chain base kinase  phytosphingosine	psph1p_c	Phytosphingosine 1 phosphate C18H39NO6P	1.0	product
SPHPL	Sphinganine phosphate lyase	sph1p_c	Sphinganine 1 phosphate C18H39NO5P	-1.0	reactant
SPHPL	Sphinganine phosphate lyase	ethamp_c	Ethanolamine phosphate C2H7NO4P	1.0	product
SPHPL	Sphinganine phosphate lyase	hxdcal_c	Hexadecanal C16H32O	1.0	product
DMATT	Dimethylallyltranstransferase	ipdp_c	Isopentenyl diphosphate	-1.0	reactant
DMATT	Dimethylallyltranstransferase	dmpp_c	Dimethylallyl diphosphate	-1.0	reactant
DMATT	Dimethylallyltranstransferase	grdp_c	Geranyl diphosphate	1.0	product
DMATT	Dimethylallyltranstransferase	ppi_c	Diphosphate	1.0	product
DPMVD	Diphosphomevalonate decarboxylase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
DPMVD	Diphosphomevalonate decarboxylase	5dpmev_c	 R  5 Diphosphomevalonate C6H10O10P2	-1.0	reactant
DPMVD	Diphosphomevalonate decarboxylase	adp_c	ADP C10H12N5O10P2	1.0	product
DPMVD	Diphosphomevalonate decarboxylase	co2_c	CO2 CO2	1.0	product
DPMVD	Diphosphomevalonate decarboxylase	ipdp_c	Isopentenyl diphosphate	1.0	product
DPMVD	Diphosphomevalonate decarboxylase	pi_c	Phosphate	1.0	product
ERGSTGLCT	UDP glucoseergosterol glucosyltransferase	ergst_c	Ergosterol C28H44O	-1.0	reactant
ERGSTGLCT	UDP glucoseergosterol glucosyltransferase	udpg_c	UDPglucose	-1.0	reactant
ERGSTGLCT	UDP glucoseergosterol glucosyltransferase	ergst3glc_c	Ergosterol 3 beta D glucoside C34H54O6	1.0	product
ERGSTGLCT	UDP glucoseergosterol glucosyltransferase	udp_c	UDP C9H11N2O12P2	1.0	product
ERGSTGLCT	UDP glucoseergosterol glucosyltransferase	h_c	H+	1.0	product
FRTT	Farnesyltranstransferase	ipdp_c	Isopentenyl diphosphate	-1.0	reactant
FRTT	Farnesyltranstransferase	frdp_c	Farnesyl diphosphate	-1.0	reactant
FRTT	Farnesyltranstransferase	ppi_c	Diphosphate	1.0	product
FRTT	Farnesyltranstransferase	ggdp_c	Geranylgeranyl diphosphate C20H33O7P2	1.0	product
GRTT	Geranyltranstransferase	grdp_c	Geranyl diphosphate	-1.0	reactant
GRTT	Geranyltranstransferase	ipdp_c	Isopentenyl diphosphate	-1.0	reactant
GRTT	Geranyltranstransferase	ppi_c	Diphosphate	1.0	product
GRTT	Geranyltranstransferase	frdp_c	Farnesyl diphosphate	1.0	product
HMGCOAR	Hydroxymethylglutaryl CoA reductase	coa_c	Coenzyme A	-1.0	reactant
HMGCOAR	Hydroxymethylglutaryl CoA reductase	nadp_c	Nicotinamide adenine dinucleotide phosphate	-2.0	reactant
HMGCOAR	Hydroxymethylglutaryl CoA reductase	mev__R_c	 R  Mevalonate C6H11O4	-1.0	reactant
HMGCOAR	Hydroxymethylglutaryl CoA reductase	hmgcoa_c	Hydroxymethylglutaryl CoA C27H39N7O20P3S	1.0	product
HMGCOAR	Hydroxymethylglutaryl CoA reductase	nadph_c	Nicotinamide adenine dinucleotide phosphate - reduced	2.0	product
HMGCOAR	Hydroxymethylglutaryl CoA reductase	h_c	H+	2.0	product
HMGCOAS	Hydroxymethylglutaryl CoA synthase	coa_c	Coenzyme A	-1.0	reactant
HMGCOAS	Hydroxymethylglutaryl CoA synthase	hmgcoa_c	Hydroxymethylglutaryl CoA C27H39N7O20P3S	-1.0	reactant
HMGCOAS	Hydroxymethylglutaryl CoA synthase	h_c	H+	-1.0	reactant
HMGCOAS	Hydroxymethylglutaryl CoA synthase	h2o_c	H2O H2O	1.0	product
HMGCOAS	Hydroxymethylglutaryl CoA synthase	accoa_c	Acetyl-CoA	1.0	product
HMGCOAS	Hydroxymethylglutaryl CoA synthase	aacoa_c	Acetoacetyl-CoA	1.0	product
IPDDI	Isopentenyl-diphosphate D-isomerase	ipdp_c	Isopentenyl diphosphate	-1.0	reactant
IPDDI	Isopentenyl-diphosphate D-isomerase	dmpp_c	Dimethylallyl diphosphate	1.0	product
CHLPCTD	Choline phosphate cytididyltransferase	cholp_c	Choline phosphate C5H13NO4P	-1.0	reactant
CHLPCTD	Choline phosphate cytididyltransferase	ctp_c	CTP C9H12N3O14P3	-1.0	reactant
CHLPCTD	Choline phosphate cytididyltransferase	h_c	H+	-1.0	reactant
CHLPCTD	Choline phosphate cytididyltransferase	cdpchol_c	CDPcholine C14H25N4O11P2	1.0	product
CHLPCTD	Choline phosphate cytididyltransferase	ppi_c	Diphosphate	1.0	product
CHOLK	Choline kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
CHOLK	Choline kinase	chol_c	Choline C5H14NO	-1.0	reactant
CHOLK	Choline kinase	adp_c	ADP C10H12N5O10P2	1.0	product
CHOLK	Choline kinase	cholp_c	Choline phosphate C5H13NO4P	1.0	product
CHOLK	Choline kinase	h_c	H+	1.0	product
ETHAK	Ethanolamine kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
ETHAK	Ethanolamine kinase	etha_c	Ethanolamine	-1.0	reactant
ETHAK	Ethanolamine kinase	adp_c	ADP C10H12N5O10P2	1.0	product
ETHAK	Ethanolamine kinase	ethamp_c	Ethanolamine phosphate C2H7NO4P	1.0	product
ETHAK	Ethanolamine kinase	h_c	H+	1.0	product
MI13456PK	Inositol-1,3,4,5,6-pentakisphosphate 2-kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
MI13456PK	Inositol-1,3,4,5,6-pentakisphosphate 2-kinase	mi13456p_c	1D myo Inositol 1 3 4 5 6 pentakisphosphate C6H7O21P5	-1.0	reactant
MI13456PK	Inositol-1,3,4,5,6-pentakisphosphate 2-kinase	adp_c	ADP C10H12N5O10P2	1.0	product
MI13456PK	Inositol-1,3,4,5,6-pentakisphosphate 2-kinase	h_c	H+	1.0	product
MI13456PK	Inositol-1,3,4,5,6-pentakisphosphate 2-kinase	minohp_c	Myo-Inositol hexakisphosphate	1.0	product
MI1456PK	Inositol-polyphosphate multikinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
MI1456PK	Inositol-polyphosphate multikinase	mi1456p_c	1D myo Inositol 1 4 5 6 tetrakisphosphate C6H8O18P4	-1.0	reactant
MI1456PK	Inositol-polyphosphate multikinase	adp_c	ADP C10H12N5O10P2	1.0	product
MI1456PK	Inositol-polyphosphate multikinase	mi13456p_c	1D myo Inositol 1 3 4 5 6 pentakisphosphate C6H7O21P5	1.0	product
MI1456PK	Inositol-polyphosphate multikinase	h_c	H+	1.0	product
MI145PK	Inositol-1,4,5-trisphosphate 3-kinase	atp_c	ATP C10H12N5O13P3	-1.0	reactant
MI145PK	Inositol-1,4,5-trisphosphate 3-kinase	mi145p_c	1D myo Inositol 1 4 5 trisphosphate C6H9O15P3	-1.0	reactant
MI145PK	Inositol-1,4,5-trisphosphate 3-kinase	adp_c	ADP C10H12N5O10P2	1.0	product
MI145PK	Inositol-1,4,5-trisphosphate 3-kinase	mi1345p_c	1D myo Inositol 1 3 4 5 tetrakisphosphate C6H8O18P4	1.0	product
MI145PK	Inositol-1,4,5-trisphosphate 3-kinase	h_c	H+	1.0	product
MI1PP	Myo-inositol 1-phosphatase	h2o_c	H2O H2O	-1.0	reactant
MI1PP	Myo-inositol 1-phosphatase	mi1p__D_c	1D-myo-Inositol 1-phosphate	-1.0	reactant
MI1PP	Myo-inositol 1-phosphatase	pi_c	Phosphate	1.0	product
MI1PP	Myo-inositol 1-phosphatase	inost_c	Myo-Inositol	1.0	product
MI1PS	Myo Inositol 1 phosphate synthase	g6p_c	D-Glucose 6-phosphate	-1.0	reactant
