reaction_id	flux
EX_h_e	4.7940654259
ENO	2.8606629815
PGM	-2.8606579314
PGK	-2.8606579314
GAPD	2.8606579314
PPS	-2.6051982013
ADK1	-2.4939365443
FORt2	-2.4103634831
EX_for_e	2.4103634831
NGAM	2.27
EX_ac_e	1.9999466111
ACt2r	-1.9999466111
ACht2	-1.9792060265
PFLh	1.9792060265
PIht	1.9792060265
SUCCOAh	1.9792060265
SUCOAACTh	1.9792060265
PYRht	1.9792060265
ADPATPht	1.9792060265
FORht2	-1.9792060265
EX_h2o_e	-1.9080183125
H2ht	-1.5997501542
HYDh2	1.5997501542
MAKht	1.5997501542
AGht	-1.5997501542
AMTh	-1.5997501542
MDHh	1.5997501542
H2td	1.5997501542
EX_h2_e	1.5997501542
MDH	-1.5588465118
GLCt1	1.5
HEX1	1.5
PGI	1.5
TALA	-1.4487379265
PFK_3	1.4421766954
FBA3	1.4421766954
TPI	1.4421665953
ASPTA	1.402618775
H2Ot	1.1580183125
BG_CELLB	0.75
EX_cellb_e	-0.75
G3PD1ir	0.5129191056
G3PT	0.5129191056
GLYCDy	0.5129191056
DHAK	0.5129191056
PFL	0.4719484812
EX_etoh_e	0.4272636819
ETOHt2r	-0.4272636819
ALCD2x	-0.4272636819
NH4t	0.3780111983
EX_nh4_e	-0.3780111983
ACALD	-0.3318817235
GLUDy	-0.2898330332
PEPCK_re	-0.2181495986
NDPK1	-0.207828959
PPA	0.1370298426
H2Oxt	0.1128059995
HCO3E	0.0847112262
GLNS	0.0842326378
PIt2r	0.0746034967
EX_pi_e	-0.0746034967
PYRDC	0.0673925143
MOAAxt	0.0619218618
MDHx	0.0619218618
ASPK	0.0592466955
ASAD	-0.0592466955
HSDy	-0.0592466955
Hxt	-0.0575502405
ACCOAC	0.0520107522
MCOATA	0.0520057021
CITxt	0.0508841377
ASTx	0.0508841377
CSx	0.0508841377
ASPxt	0.0508841377
ACONTb	0.0508841377
ACONTa	0.0508841377
ICDHyr	0.0508841377
Biomass	0.0505007789
EX_succ_e	0.0445337207
SUCCt2r	-0.0445337207
OSMx	0.0445236205
SUCCxt	-0.0445236205
FUMxt	0.0445236205
FTHFLi	0.040811225
HSK	0.038506111
THRS	0.038506111
PRPPS	0.0383261337
AKGxt	0.0334858965
CBPS	0.032700474
RPE	-0.0317800529
RPI	-0.0317649026
DHAD1	0.0312359056
KARA1	-0.0312359056
ACLS	0.0312359056
THRA	0.0279894442
OMPDC	0.0264669815
ASPCT	0.0264669815
UMPK	0.0264669815
ORPT	-0.0264669815
NADPHQR	-0.0264669815
DHORD3	0.0264669815
DHORTS	-0.0264669815
NDPK2	0.0262350139
ACGAMPM	0.0260432517
GF6PTA	0.0260432517
ACGAM6PS	0.0260432517
UAGDP	0.0260432517
TKT2	-0.0252188218
MTHFC	-0.0233968672
MTHFD	-0.0233968672
FUM	-0.0210182194
HSERTA	0.0207405846
AHSERL2	0.0207405846
CYS	-0.0207405846
ASNS2	0.0192803268
DHQTi	0.0186575908
CHORS	0.0186575908
PSCVT	0.0186575908
SHK3Dr	0.0186575908
SHKK	0.0186575908
DHQS	0.0186575908
DDPA	0.0186575908
SACCRPxt	0.0173982413
LYSLxt	-0.0173982413
r_HICITD	0.0173982413
AASAD2	0.0173982413
SADHx	0.0173982413
SACCD1	0.0173982413
AATA	0.0173982413
HCITS	0.0173982413
r_HAH	0.0173982413
CHORM	0.0171190782
ILETA	-0.0168783621
CYSTGL	0.0168783621
CYSTS	0.0168783621
DHAD2	0.0168783621
ACHBS	0.0168783621
KARI_23dhmp_1	0.0168783621
KARI_1	0.0168783621
OMCDC	0.0157079521
IPPMIb	-0.0157079521
IPPMIa	-0.0157079521
IPMD	0.0157079521
LEUTA	-0.0157079521
IPPS	0.0157079521
CYSt2r	0.0134385742
EX_cys__L_e	-0.0134385742
COAxt	-0.01302662
PALMCL	0.01302662
EX_hdec_e	-0.01302662
HDECtex	0.01302662
GHMT2r	-0.0126264742
AICART	0.0103105395
IMPC	-0.0103105395
ADSL1r	0.0101781904
ADSS	0.0101781904
VALTA	-0.0088568006
TYRTA	-0.0088167609
PPND2	0.0088167609
PPNDH	0.0083023173
PHETA1	-0.0083023173
3HAD40	0.008165976
EAR100x	0.008165976
KAS15	0.008165976
EAR140x	0.008165976
3HAD140	0.008165976
3OAR140	0.008165976
3OAS140	0.008165976
EAR120x	0.008165976
3HAD120	0.008165976
3OAR120	0.008165976
3OAS120	0.008165976
3OAR100	0.008165976
3HAD100	0.008165976
EAR40x	0.008165976
3OAS100	0.008165976
EAR80x	0.008165976
3OAR40	0.008165976
3OAR80	0.008165976
3OAS80	0.008165976
EAR60x	0.008165976
3HAD60	0.008165976
3OAR60	0.008165976
3OAS60	0.008165976
3HAD80	0.008165976
ALATA_L	-0.0073010059
PRFGS	0.0071038183
GARFT	0.0071038183
GLUPRT	0.0071038183
PRFGCL	0.0071038183
PRAIC	0.0071038183
PRASCSi	0.0071038183
ADSL2r	0.0071038183
PPRGL	0.0071038183
PRO1y	-0.0067251587
GLU5K	0.0067251587
G5SD	0.0067251587
G5SADs	0.0067251587
MOHMT	0.0066711529
DPR	0.0066711529
PNTK	0.0066661028
PPCDC	0.0066661028
DPCKx	0.0066661028
PPNCL	0.0066661028
ASP1DC	0.0066661028
APPAT	0.0066661028
PANTS	0.0066661028
DPCOAxt	0.0066661028
NDPK3	0.0066661028
FA140ACPHi	0.0066661028
ATPADPxt	0.0066661028
TKT1	-0.006561231
