	minimum	maximum
SULR	0.0	0.010155634304941877
LEUTAi	0.0	1000.0
TRPS3	0.0	0.0011926609243839252
PPND	0.0	0.4441876893001173
ADSK	0.0	0.0
SLFAT	-1000.0	0.0
AHCYSNS	0.0	0.0
CYSTL	0.0	0.050439872253974935
DHPTDCs2	0.0	0.0
HCYSMT	0.0	0.14806256310003324
HCYSMT2	0.0	0.14806256310003324
HSST	0.0	0.01607818179823077
METAT	1.0570068048735763e-05	0.14807313316809106
METOX1s	0.0	0.0
METOX2s	0.0	0.0
METS	0.002698132236003834	0.1507606953360371
MTHTHFSs	0.0	0.0
RHCCE	0.0	0.0
SHSL1	0.0	0.016078181798231003
BG_CELLB	0.30581231070002823	0.75
ALCD19y	0.0	0.4441876892999959
DHAK	0.0	0.8020428858535693
G3PD1ir	0.0	0.8020428858535524
G3PT	0.0	0.8020428858535524
GLYCDy	0.0	0.8020428858535524
GLYK	0.0	0.444187689300006
GPDDA1	0.0	0.025765384662621633
3DSPHR	0.0	0.0
CERS124	0.0	0.0
CERS126	0.0	0.0
CERS224	0.0	0.0
CERS226	0.0	0.0
MEVK1	0.0	0.0
MEVK2	0.0	0.0
MEVK3	0.0	0.0
MEVK4	0.0	0.0
PMEVK	0.0	0.0
PSPHPL	0.0	0.0
SBPP1	0.0	0.44418768930001445
SBPP2	0.0	0.444187689299993
SERPT	0.0	0.0
SLCBK1	0.0	0.44418768929998376
SLCBK2	0.0	0.444187689299993
SPHPL	0.0	0.0
DMATT	0.0	0.0
DPMVD	0.0	0.0
ERGSTGLCT	0.0	0.0
FRTT	0.0	0.0
GRTT	0.0	0.0
HMGCOAR	0.0	0.0
HMGCOAS	0.0	1000.0
IPDDI	0.0	0.0
CHLPCTD	0.0	0.0
CHOLK	0.0	0.4441876892989127
ETHAK	0.0	0.14806256309961577
MI13456PK	0.0	0.0
MI1456PK	0.0	0.0
MI145PK	0.0	0.4441876892988915
MI1PP	0.0	0.0
MI1PS	0.0	0.0
PETHCT	0.0	0.14806256309963176
PMI12346PH	0.0	0.44418768929890257
PMI12346PS	0.0	0.4441876892988915
PMI1346PH	0.0	0.4441876892988791
PMI1346PS	0.0	0.4441876892999691
3MOPt	0.0	0.0
ACt2r	-0.711876893	-0.5543107775918212
ADEt2	0.0	0.0
ADNt2	0.0	0.0
AKGMAL	0.0	0.0
AKGt2r	0.0	0.0
AMETt2	0.0	0.0
ARGt2r	0.0	0.0
ASNt2r	0.0	0.0
ASPt2r	0.0	0.0
BTNt2i	0.0	0.0
CHLt2	0.0	0.0
CITt2r	0.0	0.0
CO2t	-0.6245718637540324	-0.05168576803755027
CSNt2	0.0	0.0
CYSt2r	0.0	0.010417634947317796
CYTDt2	0.0	0.0
D_LACt2	-1.08919967	-0.753311677068202
ETHAt	0.0	0.0
DTTPt	0.0	0.0
DURIt2	0.0	0.0
DCYTt2	0.0	0.0
DGSNt2	0.0	0.0
DINSt2	0.0	0.0
FRUt2	0.0	0.0
GLCt1	0.0	1.459822044671698
GSNt2	0.0	0.0
GUAt2r	0.0	0.0
HDCAt	0.0	0.0
TTDCAtr	0.0	0.0
HXANt2r	0.0	0.0
INSt2	0.0	0.0
INSTt2	0.0	0.0
MELIBt2	0.0	0.0
NMNTP	0.0	0.0
MMETt2	0.0	0.0
NACt	0.0	0.0
NADPt	0.0	0.0
OAAt	0.0	0.0
OCDCAt	0.0	0.0
ORNt2r	0.0	0.0
PNTOt2	0.0	0.0
SO3t	0.0	0.010155634304941877
HCO3E	0.059101624777497655	0.1327353077889017
HCO3_h_ti	0.0	0.0
H2St1	0.0	0.0
H2td	0.047483008	0.189248895
ALAt4	0.0	0.0
GLYt4	0.0	0.0
ASNt4	0.0	0.0
GLUt4	0.0	0.0
SERabc	0.0	0.0
SO4ti	0.0	0.0
NH4t	0.0	0.2958216168769681
NAt	0.0	0.0
CA2t	0.0	0.0
Kt1	0.0	0.0
MGt5	0.0	0.0
H2Ot	-0.13916977610464792	0.5686651006272881
XYLt2	0.0	0.0
GLCt2	0.04017795532830415	0.7247956176374106
GALt2	0.0	0.0
SUCRt2	0.0	0.0
SBTt2	0.0	0.0
MALTt2	0.0	0.0
MANt2	0.0	0.0
PIt2r	0.052049628622663935	0.05783292069185347
CAt4	0.0	0.0
Kt3r	0.0	0.0
NAt3_1	0.0	0.0
PIt8	0.0	0.0
PPIabc	0.0	0.0
MALTabc	0.0	0.0
RMNabc	0.0	0.0
SUCCabc	0.0	0.0
SUCRabc	0.0	0.0
GLNabc	0.0	0.0
ARB_Dabc	0.0	0.0
ARBabc	0.0	0.0
CYSabc	0.0	0.010393259399560447
ARGabc	0.0	0.0
CELLBabc	0.0	0.44418768929997177
SERt2r	0.0	0.0
PROt2r	0.0	0.0
PYRt2	0.0	0.0
PHEt2r	0.0	0.0
METt2r	0.0	0.0
LYSt2r	0.0	0.0
LEUt2r	0.0	0.0
VALt2r	0.0	0.0
ILEt2r	0.0	0.0
GLUt2r	0.0	0.0
GLNt2r	0.0	0.0
SUCCt2r	-0.04529	-0.03107044208181784
THRt2r	0.0	0.0
TRPt2r	0.0	0.0
TYRt2r	0.0	0.0
FUMt2r	0.0	0.0
ALAt2r	0.0	0.0
GLYCt2	0.0	0.0
GLYt2r	0.0	0.0
HISt2r	0.0	0.0
4ABZt2r	0.0	3.914840018045485e-06
ETOHt2r	-1.013514567	-0.6776265740682019
FORt2	-1.4036434977060015	-1.087540278
L_LACt2r	0.0	0.0
NH4t_1	0.0	0.29582161687696884
XYLt	0.0	0.0
FRUt1r	0.0	0.0
GALt1r	0.0	0.0
MANt1r	0.0	0.0
MALt	0.0	0.0
4ABZt	-3.914840018045486e-06	0.0
EX_meoh_e	3.5233560162452543e-06	3.914840018050263e-06
MEOHt2	-3.914840018050259e-06	-3.5233560162452543e-06
RAFFINt2	0.0	0.0
RAFFabc	0.0	0.0
PHEMEt	3.5233560162452543e-06	3.914840018050259e-06
ALATRS	0.0	0.0
ARGTRS	0.0	0.0
ASNTRS	0.0	0.0
ASPTRS	0.0	0.0
CYSTRS	0.0	0.0
GLNTRS	0.0	0.0
GLUTRS	0.0	0.0
GLYTRS	0.0	0.0
HISTRS	0.0	0.0
ILETRS	0.0	0.0
LEUTRS	0.0	0.0
LYSTRS	0.0	0.0
METTRS	0.0	0.0
PHETRS	0.0	0.0
PROTRS	0.0	0.0
SERTRS	0.0	0.0
THRTRS	0.0	0.0
TRPTRS	0.0	0.0
TYRTRS	0.0	0.0
VALTRS	0.0	0.0
A1E	0.0	0.0
HEX1	1.5	1.7961251261999742
GLUK_syn	0.0	0.0
PGI	1.5	1.5
G6PI	0.0	0.0
PGMT	-0.1480625630999871	0.0
PFK	0.0	1.4596576345266061
FBA	0.0	1.4596576345266052
TPI	1.2375567431645869	1.459650587814573
GAPD	2.1007404520929307	2.902783337946498
PGK	-2.9027833379465013	-2.1007404520929147
PGM	-2.902786861302514	-2.680689493296511
ENO	2.754724298202529	2.9027868613025154
PYK	0.0	0.44418768930002006
PEPCK_re	-1000.0	999.8478006246213
MDH	-0.9627539845028813	0.13958559951765886
FUM	-0.028883622777849116	0.0963837383052256
FRDx	0.0	0.014219557918271841
SUCOAS	0.0	0.01607818179834833
ACONTb	0.03550102327975463	0.039445581421949275
ACONTa	0.03550102327975463	0.039445581421949275
ICDHyr	0.03550102327975468	0.039445581421949455
DRPA	0.0	0.13325630679000483
DRBK	0.0	0.0
PPM2	0.0	0.1332563067899984
TKT2	-0.06201352480060929	-0.01759475587060888
TALA	-1.4642352971536141	-0.004577662627007265
TKT1	-0.048996431557007725	-0.004577662627007265
RPE	-0.1110099563576159	-0.02217241849761537
RPI	-0.11099938628956717	-0.022161848429566634
PRPPS	0.02673951105657643	0.24883511738458086
RBK	0.0	0.4441876893000255
PPM	-0.4441876892999931	0.2220956063280037
ADPRDP	0.0	0.0
ARAI	0.0	0.0
ARABR	0.0	0.0
GALUi	0.0	1000.0
UDPGD	0.0	0.0
GULND	0.0	0.0
UDPGNP	0.0	0.0
CLBH	0.0	0.44418768929997177
GALM	0.0	0.2220938446500031
GALK2	0.0	0.2220938446500031
UDPG4E	0.0	0.0
UGLT	-0.22209384464999757	1000.0
GALT	-1000.0	0.22209384464999654
LACZ	0.0	0.0
EPMGH	0.0	0.0
MELTGH	0.0	0.0
GALIGH	-1000.0	0.2220938446500081
GGLGH	0.0	0.0
GALOR	0.0	0.0
IAGT	0.0	0.222093844649992
AGMIS	0.0	1000.0
GALS4	0.0	0.0
RAFH	0.0	0.0
GALS3	0.0	0.0
RAFGH	0.0	1000.0
SUCR	0.0	0.0
SBTR	0.0	0.0
HEX4	0.0	0.0
MAN6PI	0.0	0.0
HEX7	0.0	0.0
FBP26	0.0	0.4441876892999691
ALLPI	0.0	0.0
ALLULPE	0.0	0.0
PFK26	0.0	0.44418768929997104
FBA2	0.0	0.0
MALS	0.0	0.0
PGLYCP	0.0	0.0
GF6PTA	0.018169946975776778	0.020188829973085208
ACGAM6PS	0.018169946975776778	0.020188829973085208
ACGAMPM	0.018169946975776778	0.020188829973085208
UAGDP	0.018169946975776778	0.020188829973085208
CHTNDA	0.0	0.0
CHITN1	0.0	0.0
UAG4Ei	0.0	0.0
FCYTOB5OXR_c	-999.3189134870628	0.0
PMANM	0.0	0.0
MAN1PT	0.0	0.0
GMAND	0.0	0.0
GFUCS	0.0	0.0
UDPGLDC	0.0	0.0
XYL14BASE	0.0	0.0
UDPGALM	0.0	0.0
UAPGR	0.0	0.0
PPS	-2.724553299436537	-1.9225104135829618
LDH_D	-1000.0	-0.6810865129376571
GLYOX_1	-0.14806256310055232	0.0
GLYOX	0.0	0.1480625630999981
ME1	0.0	0.44418768929996605
ME2	0.0	0.802042885853591
ACOAH	-0.44418768930120245	0.0
ACYP_2	0.0	0.0
ACALD	-1.1279302933889357	-0.24640523489932742
ALCD2y	-0.44418768930124286	0.0
ALCD2x	-1.013514567	-0.3551098204220896
IPPS	0.010959178982634352	0.012176865536260467
ACCOAC	0.036287043611309876	0.10805897159031923
MI4PP	0.0	0.0
MI3456PK	0.0	0.0
ITKK	0.0	0.0
MI134PK	0.0	0.0
MI1345PP	0.0	0.4441876892999691
ITKPK	0.0	0.44418768929997104
MITKP	0.0	0.444187689299982
MI145PP	0.0	0.0
MI14PP	0.0	0.0
MI3PS	0.0	0.0
MI3PP	0.0	0.0
MI13PP	0.0	0.0
FFSD	0.0	0.0
UDPGP	0.0	0.22209384464998097
TRE6PP	0.0	0.14806256310000554
TREH	0.0	0.148062563099998
TRE6PS	0.0	0.148062563099998
AAMYL_1	0.0	0.0
MALT	0.0	0.0
ALCD20y	0.0	0.0
MGSA	0.0	0.14806256309996613
OBTFL	0.0	0.0
ACS2	0.0	0.0
MME	0.0	0.0
BTCOARx	0.0	0.0
BTDD_RR	0.0	0.0
ACLDC	0.0	0.0
ACLSb	0.0	0.0
PFL	0.40412260984798554	1.2061247857458461
GLDBRAN2	0.0	1000.0
GLBRAN2	0.0	1000.0
GLCP2	0.0	0.0
GLCP	0.0	0.0
XYLI1	0.0	0.0
XYLK	0.0	0.0
AAMYL	0.0	0.0
PPA	0.08651500230571305	0.32002448145586915
PYRDC	0.06557958056274271	0.701849300027655
ALDD2x	0.0	0.44418768929998587
FBA3	0.0	1.4596576345266057
PFK_3	0.0	1.4596576345266057
ALATA_L	-0.005659768156719608	-0.005093791341047686
ASNS2	0.0	0.23554541053774888
ASNN	0.0	0.2220938446499992
ASPTA	-1000.0	1000.0
GLUDy	-0.31325952801103085	0.24197596445578823
GLUSy	0.0	0.44418768930297686
GLNS	0.05876772152704752	0.5029554108294867
GLUN	0.0	0.44418768930063574
ASPCT	0.01846557625890125	0.02051730695433457
ASNS1	0.0	0.1570302736918422
r0085	0.0	0.0
ARGSS	0.00434900490728653	0.00483222767476281
ADSS	0.00710115549826238	0.11814895866227054
ARGSL	0.00434900490728653	0.004832227674762764
ADSL1r	0.00710115549826238	0.11814895866226721
GLUDC	0.0	0.0
CBPS	0.02281458116618778	0.02534953462909728
GLUPRT	0.00495621681665082	0.005506907574056451
GLYCK	0.0	0.22209736800600258
HPYRRy	0.0	3.914836567715859e-06
HPYRRx	0.0	3.914840018045486e-06
PSP_L	0.0	0.0
TRPS2	0.0	0.050439872254014494
TRPS1	0.0	0.001190104543432223
GNMT	0.0	0.0
SER_AL	0.0	0.0
THRA	0.0	0.06996764560498611
GLYAT	-0.06996764560498607	0.0
THRS	0.0268650782431478	0.0917753141155734
THRD	0.0	0.0699676456049862
THRD_L	0.0	0.016078181798230774
HSK	0.026865078243147898	0.09177531411557303
HSDy	-0.48552313116158724	-0.04133544186155741
HSDxi	-0.4441876893000121	0.0
ASAD	-0.09177531411557302	-0.041335441861556174
ASPK	0.041335441861557784	0.09177531411557333
GHMT2r	-0.05924915495042242	-0.008809282696407511
SERD_L	0.0	0.05043987225401538
CYS	-0.4586580529184514	0.0
2AMACHYD	0.0	0.0
SERAT	0.0	0.44418768930003016
CYSS	0.0	0.4441876893000076
CYSTGL	-0.002994009866652877	0.013084171931577921
CYSTS	-0.002994009866652877	0.06221562699243542
ADMDC	0.0	0.0
SPMS	0.0	0.0
MTAP	0.0	0.0
MTRI	0.0	0.0
CYSDS	0.0	0.04964054983989312
CYSTA	0.0	0.0
ACPCS	0.0	0.0
