reaction_id	reaction_name	lower_bound	upper_bound
SULR	Sulfite reductase (NADPH2)	0.0	1000.0
LEUTAi	Leucine transaminase (irreversible)	0.0	1000.0
TRPS3	Tryptophan synthase (indoleglycerol phosphate)	0.0	1000.0
PPND	Prephenate dehydrogenase	0.0	1000.0
ADSK	Adenylyl-sulfate kinase	0.0	1000.0
SLFAT	Sulfate adenylyltransferase  ADP	-1000.0	1000.0
AHCYSNS	S-adenosylhomocysteine nucleosidase	0.0	1000.0
CYSTL	Cystathionine b-lyase	0.0	1000.0
DHPTDCs2	4,5-dihydroxy-2,3-pentanedione cyclization (spontaneous)	0.0	1000.0
HCYSMT	Homocysteine S-methyltransferase	0.0	1000.0
HCYSMT2	Homocysteine Methyltransferase	0.0	1000.0
HSST	Homoserine O-succinyltransferase	0.0	1000.0
METAT	Methionine adenosyltransferase	0.0	1000.0
METOX1s	Methionine oxidation (spontaneous)	0.0	1000.0
METOX2s	Methionine oxidation 2 (spontaneous)	0.0	1000.0
METS	Methionine synthase	0.0	1000.0
MTHTHFSs	(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)	0.0	1000.0
RHCCE	S-ribosylhomocysteine cleavage enzyme	0.0	1000.0
SHSL1	O-succinylhomoserine lyase (L-cysteine)	0.0	1000.0
BG_CELLB	Beta glucosidase  cellobiose	0.0	1000.0
ALCD19y	Alcohol dehydrogenase  glycerol  NADP	0.0	1000.0
DHAK	Dihydroxyacetone kinase	0.0	1000.0
G3PD1ir	Glycerol 3 phosphate dehydrogenase  NAD	0.0	1000.0
G3PT	Glycerol-3-phosphatase	0.0	1000.0
GLYCDy	Glycerol dehydrogenase  NADP dependent	0.0	1000.0
GLYK	Glycerol kinase	0.0	1000.0
GPDDA1	Glycerophosphodiester phosphodiesterase (Glycerophosphocholine)	0.0	1000.0
3DSPHR	3 Dehydrosphinganine reductase	0.0	1000.0
CERS124	Ceramide 1 synthase  24C	0.0	1000.0
CERS126	Ceramide 1 synthase  26C	0.0	1000.0
CERS224	Ceramide 2 synthase  24C	0.0	1000.0
CERS226	Ceramide 2 synthase  26C	0.0	1000.0
